Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","534 (128)
							",kJ (kcal),236
"grasa, total (lipidos totales)",5.2,g,258
"proteina, total",20.1,g,258
agua (humedad),74.7,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,258
carbohidratos,0,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",1.28,g,258
"ácidos grasos, poliinsaturados totales",2.47,g,258
ácidos grasos saturados totales,0.79,g,258
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,100,mg,258
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,258
Vitamina D,traza,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,2.3,mg,258
"folato, total",20,ug,32
"equivalentes de niacina, totales",6.1,mg,258
riboflavina,0.15,mg,258
tiamina,0.1,mg,258
Vitamina B-12,traza,ug,258
"Vitamina B-6, Total",0.35,mg,258
Vitamina C (ácido ascórbico),traza,mg,258
Minerales,,,
calcio,29,mg,258
"hierro, total",1.3,mg,258
potasio,270,mg,258
magnesio,48,mg,258
sodio,370,mg,258
fósforo,312,mg,258
ioduro,40,ug,258
"selenio, total",37.4,ug,258
zinc (cinc),5.5,mg,258
