Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1164 (279)
							",kJ (kcal),236
"grasa, total (lipidos totales)",23.6,g,61
"proteina, total",17.1,g,61
agua (humedad),56.9,g,61
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",10.7,g,61
"ácidos grasos, poliinsaturados totales",2.2,g,61
ácidos grasos saturados totales,9.3,g,61
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,77,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,61
Vitamina D,traza,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.05,mg,61
"folato, total",4,ug,61
"equivalentes de niacina, totales",4.9,mg,61
riboflavina,0.27,mg,61
tiamina,0.62,mg,61
Vitamina B-12,0.9,ug,61
"Vitamina B-6, Total",0.4,mg,61
Vitamina C (ácido ascórbico),0,mg,61
Minerales,,,
calcio,7,mg,61
"hierro, total",1,mg,61
potasio,260,mg,61
magnesio,22,mg,61
sodio,75,mg,61
fósforo,240,mg,61
ioduro,2,ug,38
"selenio, total",27.3,ug,38
zinc (cinc),1.3,mg,61
