Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","635 (152)
							",kJ (kcal),236
"grasa, total (lipidos totales)",8.9,g,61
"proteina, total",18,g,61
agua (humedad),66,g,61
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",4,g,61
"ácidos grasos, poliinsaturados totales",1.15,g,61
ácidos grasos saturados totales,3.28,g,61
ácido graso 12:0 (láurico),0.002,g,299
ácido graso 14:0 (ácido mirístico),0.022,g,299
ácido graso 16:0 (ácido palmítico),0.64,g,299
ácido graso 18:0 (ácido esteárico),0.211,g,299
ácido graso 18:1 n-9 cis (ácido oléico),0.624,g,299
colesterol,65,mg,61
ácido graso 18:2,0.5,g,299
ácido graso 18:3,0.02,g,299
ácido graso 20:4 n-6  (ácido araquidónico),0.068,g,299
ácido graso 20:5 (ácido eicosapentaenóico),0.009,g,299
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,61
Vitamina D,traza,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.1,mg,61
"folato, total",3,ug,61
"equivalentes de niacina, totales",4,mg,61
riboflavina,0.22,mg,61
tiamina,0.76,mg,61
Vitamina B-12,0.6,ug,61
"Vitamina B-6, Total",0.4,mg,61
Vitamina C (ácido ascórbico),0,mg,61
Minerales,,,
calcio,9,mg,61
"hierro, total",0.9,mg,61
potasio,212,mg,61
magnesio,20,mg,61
sodio,63,mg,61
fósforo,151,mg,61
ioduro,2.6,ug,38
"selenio, total",32.4,ug,38
zinc (cinc),2.4,mg,61
