Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1945 (467)
							",kJ (kcal),236
"grasa, total (lipidos totales)",46.6,g,61
"proteina, total",12.5,g,61
agua (humedad),40.4,g,61
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,0.5,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",21.2,g,61
"ácidos grasos, poliinsaturados totales",3.47,g,61
ácidos grasos saturados totales,19.39,g,61
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,72,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,61
Vitamina D,traza,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.08,mg,61
"folato, total",1.5,ug,61
"equivalentes de niacina, totales",4.2,mg,61
riboflavina,0.12,mg,61
tiamina,0.32,mg,61
Vitamina B-12,traza,ug,61
"Vitamina B-6, Total",0.27,mg,61
Vitamina C (ácido ascórbico),0,mg,61
Minerales,,,
calcio,6,mg,61
"hierro, total",0.9,mg,61
potasio,230,mg,61
magnesio,13,mg,61
sodio,1470,mg,61
fósforo,120,mg,61
ioduro,11,ug,61
"selenio, total",1,ug,61
zinc (cinc),1.5,mg,61
