Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,258
"energía, total","1133 (272)
							",kJ (kcal),236
"grasa, total (lipidos totales)",23,g,258
"proteina, total",16.6,g,258
agua (humedad),60.4,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,258
carbohidratos,0,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.082,g,300
"ácidos grasos, monoinsaturados totales",9.62,g,258
"ácidos grasos, poliinsaturados totales",3.51,g,258
ácidos grasos saturados totales,7.43,g,258
ácido graso 12:0 (láurico),0.006,g,326
ácido graso 14:0 (ácido mirístico),0.076,g,326
ácido graso 16:0 (ácido palmítico),4.895,g,300
ácido graso 18:0 (ácido esteárico),2.574,g,300
ácido graso 18:1 n-9 cis (ácido oléico),6.794,g,300
colesterol,72,mg,258
ácido graso 18:2,2.996,g,300
ácido graso 18:3,0.2,g,300
ácido graso 20:4 n-6  (ácido araquidónico),0.466,g,300
ácido graso 20:5 (ácido eicosapentaenóico),0.065,g,300
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,258
Vitamina D,traza,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.01,mg,258
"folato, total",4,ug,32
"equivalentes de niacina, totales",7.6,mg,258
riboflavina,0.2,mg,258
tiamina,0.7,mg,258
Vitamina B-12,2,ug,258
"Vitamina B-6, Total",0.33,mg,258
Vitamina C (ácido ascórbico),0,mg,258
Minerales,,,
calcio,8,mg,258
"hierro, total",1.3,mg,258
potasio,370,mg,258
magnesio,18,mg,258
sodio,760,mg,258
fósforo,170,mg,258
ioduro,,ug,258
"selenio, total",14,ug,258
zinc (cinc),1.8,mg,258
