Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","664 (159)
							",kJ (kcal),236
"grasa, total (lipidos totales)",4.7009,g,61
"proteina, total",28.8,g,149
agua (humedad),65.2,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",2.2,g,149
"ácidos grasos, poliinsaturados totales",0.58,g,149
ácidos grasos saturados totales,1.7,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,73,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,61
Vitamina D,traza,ug,149
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.1,mg,149
"folato, total",6,ug,149
"equivalentes de niacina, totales",4.7,mg,61
riboflavina,0.4,mg,149
tiamina,0.9,mg,149
Vitamina B-12,0.6,ug,149
"Vitamina B-6, Total",0.4,mg,149
Vitamina C (ácido ascórbico),traza,mg,149
Minerales,,,
calcio,9,mg,149
"hierro, total",1.5,mg,149
potasio,540,mg,149
magnesio,25,mg,149
sodio,65,mg,149
fósforo,290,mg,149
ioduro,1.1,ug,327
"selenio, total",6.9,ug,327
zinc (cinc),2.4,mg,61
