Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","546 (131)
							",kJ (kcal),236
"grasa, total (lipidos totales)",5.1,g,161
"proteina, total",21,g,149
agua (humedad),74.4,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",2.367,g,61
"ácidos grasos, poliinsaturados totales",0.4418,g,61
ácidos grasos saturados totales,2.0514,g,61
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,72,mg,161
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,61
Vitamina D,traza,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.1,mg,149
"folato, total",4,ug,149
"equivalentes de niacina, totales",4.3,mg,61
riboflavina,0.26,mg,149
tiamina,1,mg,149
Vitamina B-12,0.7,ug,149
"Vitamina B-6, Total",0.45,mg,149
Vitamina C (ácido ascórbico),0,mg,29
Minerales,,,
calcio,8,mg,149
"hierro, total",1.2,mg,149
potasio,420,mg,149
magnesio,25,mg,149
sodio,53,mg,156
fósforo,230,mg,149
ioduro,2.4,ug,7
"selenio, total",14,ug,29
zinc (cinc),1.6,mg,156
