Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1603 (385)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1,g,7
"proteina, total",5.1,g,7
agua (humedad),5.9,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",1,g,7
carbohidratos,87,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.34,g,7
"ácidos grasos, poliinsaturados totales",0.38,g,7
ácidos grasos saturados totales,0.27,g,7
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,7
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,566,ug,38
Vitamina D,4.25,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.5,mg,38
"folato, total",200,ug,7
"equivalentes de niacina, totales",15.3,mg,7
riboflavina,1.6,mg,7
tiamina,1.2,mg,7
Vitamina B-12,0.85,ug,7
"Vitamina B-6, Total",1.7,mg,7
Vitamina C (ácido ascórbico),51,mg,7
Minerales,,,
calcio,267,mg,38
"hierro, total",10,mg,7
potasio,140,mg,38
magnesio,27.5,mg,38
sodio,0.4,mg,7
fósforo,95,mg,38
ioduro,5,ug,38
"selenio, total",25.6,ug,38
zinc (cinc),0.85,mg,38
