Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1587 (381)
							",kJ (kcal),236
"grasa, total (lipidos totales)",3,g,7
"proteina, total",6,g,7
agua (humedad),6.8,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",3.4,g,7
carbohidratos,80.8,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,7
"ácidos grasos, poliinsaturados totales",traza,g,7
ácidos grasos saturados totales,1.8,g,7
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,7
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,7
Vitamina D,0,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,17,mg,7
"folato, total",340,ug,7
"equivalentes de niacina, totales",31,mg,7
riboflavina,2.7,mg,7
tiamina,2.4,mg,7
Vitamina B-12,1.7,ug,7
"Vitamina B-6, Total",3.4,mg,7
Vitamina C (ácido ascórbico),102,mg,7
Minerales,,,
calcio,500,mg,7
"hierro, total",24,mg,7
potasio,0,mg,7
magnesio,50,mg,7
sodio,600,mg,7
fósforo,170,mg,7
ioduro,0,ug,7
"selenio, total",0,ug,7
zinc (cinc),0,mg,7
