Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1528 (367)
							",kJ (kcal),236
"grasa, total (lipidos totales)",5,g,7
"proteina, total",8,g,7
agua (humedad),16,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",1.8,g,280
carbohidratos,71,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,7
"ácidos grasos, poliinsaturados totales",traza,g,7
ácidos grasos saturados totales,2.5,g,7
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,7
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,6,ug,280
Vitamina D,0.1,ug,280
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.3,mg,280
"folato, total",250,ug,7
"equivalentes de niacina, totales",11.3,mg,7
riboflavina,1,mg,7
tiamina,0.9,mg,7
Vitamina B-12,0.65,ug,7
"Vitamina B-6, Total",1.3,mg,7
Vitamina C (ácido ascórbico),2.5,mg,280
Minerales,,,
calcio,26.8,mg,280
"hierro, total",8.8,mg,7
potasio,181.1,mg,280
magnesio,60,mg,7
sodio,600,mg,7
fósforo,104,mg,280
ioduro,6.1,ug,280
"selenio, total",9.6,ug,280
zinc (cinc),1.1,mg,280
