Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1113 (267)
							",kJ (kcal),236
"grasa, total (lipidos totales)",2.7,g,149
"proteina, total",14,g,149
agua (humedad),3,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",29,g,149
carbohidratos,45.6,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.31,g,149
"ácidos grasos, poliinsaturados totales",1.2,g,149
ácidos grasos saturados totales,0.46,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,61
Vitamina D,2.8,ug,149
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,2.2,mg,149
"folato, total",300,ug,149
"equivalentes de niacina, totales",17.6,mg,149
riboflavina,1.3,mg,7
tiamina,1.2,mg,7
Vitamina B-12,0.8,ug,7
"Vitamina B-6, Total",1.7,mg,7
Vitamina C (ácido ascórbico),53,mg,149
Minerales,,,
calcio,70,mg,149
"hierro, total",15,mg,149
potasio,1150,mg,149
magnesio,340,mg,149
sodio,800,mg,7
fósforo,820,mg,149
ioduro,18.4,ug,280
"selenio, total",6.9,ug,280
zinc (cinc),6.7,mg,154
