Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),6.15,g,179
"energía, total","278 (67)
							",kJ (kcal),236
"grasa, total (lipidos totales)",traza,g,61
"proteina, total",0.6,g,179
agua (humedad),88.5,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,5.2571,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,61
"ácidos grasos, poliinsaturados totales",traza,g,61
ácidos grasos saturados totales,traza,g,61
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0,mg,149
"folato, total",9.5,ug,179
"equivalentes de niacina, totales",0.815,mg,179
riboflavina,0.055,mg,179
tiamina,traza,mg,154
Vitamina B-12,0.28,ug,179
"Vitamina B-6, Total",0.05,mg,179
Vitamina C (ácido ascórbico),0,mg,61
Minerales,,,
calcio,11,mg,179
"hierro, total",0.05,mg,179
potasio,92,mg,179
magnesio,16.5,mg,179
sodio,11.5,mg,179
fósforo,33.5,mg,179
ioduro,8,ug,38
"selenio, total",1.2,ug,38
zinc (cinc),0.01,mg,154
