Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,30
"energía, total","95 (23)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.13,g,30
"proteina, total",0.82,g,30
agua (humedad),94.24,g,30
Hidratos de Carbono,,,
"fibra, dietetica total",1.7,g,30
carbohidratos,4.51,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.01,g,30
"ácidos grasos, poliinsaturados totales",0.057,g,30
ácidos grasos saturados totales,28,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,30
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,30
Vitamina D,0,ug,30
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.12,mg,30
"folato, total",93,ug,30
"equivalentes de niacina, totales",0.47,mg,30
riboflavina,0.029,mg,30
tiamina,0.025,mg,30
Vitamina B-12,0,ug,30
"Vitamina B-6, Total",0.076,mg,30
Vitamina C (ácido ascórbico),7.7,mg,30
Minerales,,,
calcio,17,mg,30
"hierro, total",0.34,mg,30
potasio,125,mg,30
magnesio,12,mg,30
sodio,2,mg,30
fósforo,18,mg,30
ioduro,,ug,30
"selenio, total",0.2,ug,30
zinc (cinc),0.74,mg,30
