Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","2288 (549)
							",kJ (kcal),236
"grasa, total (lipidos totales)",35,g,7
"proteina, total",8.6,g,7
agua (humedad),2.7,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",3.9,g,7
carbohidratos,49.8,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0,g,30
"ácidos grasos, monoinsaturados totales",8.9,g,7
"ácidos grasos, poliinsaturados totales",0.8,g,7
ácidos grasos saturados totales,16.6,g,7
ácido graso 12:0 (láurico),0.263,g,30
ácido graso 14:0 (ácido mirístico),0.806,g,30
ácido graso 16:0 (ácido palmítico),7.562,g,30
ácido graso 18:0 (ácido esteárico),7.48,g,30
ácido graso 18:1 n-9 cis (ácido oléico),11.575,g,30
colesterol,12,mg,7
ácido graso 18:2,2.937,g,30
ácido graso 18:3,0.082,g,30
ácido graso 20:4 n-6  (ácido araquidónico),0,g,30
ácido graso 20:5 (ácido eicosapentaenóico),0,g,30
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,48.7,ug,7
Vitamina D,0.1,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.5,mg,7
"folato, total",11.4,ug,7
"equivalentes de niacina, totales",0.8,mg,7
riboflavina,0.4,mg,7
tiamina,0.09,mg,7
Vitamina B-12,0.25,ug,7
"Vitamina B-6, Total",0.05,mg,7
Vitamina C (ácido ascórbico),0.2,mg,7
Minerales,,,
calcio,209,mg,7
"hierro, total",1.4,mg,7
potasio,441,mg,7
magnesio,80,mg,7
sodio,106,mg,7
fósforo,246,mg,7
ioduro,12,ug,7
"selenio, total",1.2,ug,7
zinc (cinc),0.0008,mg,7
