Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","2229 (535)
							",kJ (kcal),236
"grasa, total (lipidos totales)",37.4,g,7
"proteina, total",8.2,g,7
agua (humedad),3.8,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",9.1,g,7
carbohidratos,41.5,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0,g,280
"ácidos grasos, monoinsaturados totales",8.6,g,7
"ácidos grasos, poliinsaturados totales",0.8,g,7
ácidos grasos saturados totales,16.3,g,7
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,9.1,mg,7
ácido graso 18:2,1.642,g,280
ácido graso 18:3,0.062,g,280
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),0,g,280
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,30.2,ug,7
Vitamina D,0,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.4,mg,7
"folato, total",13.8,ug,7
"equivalentes de niacina, totales",1.2,mg,7
riboflavina,0.25,mg,7
tiamina,0.08,mg,7
Vitamina B-12,0,ug,7
"Vitamina B-6, Total",0.04,mg,7
Vitamina C (ácido ascórbico),0,mg,7
Minerales,,,
calcio,78,mg,7
"hierro, total",2.5,mg,7
potasio,460,mg,7
magnesio,139,mg,7
sodio,106,mg,7
fósforo,219,mg,7
ioduro,0,ug,7
"selenio, total",0.1,ug,7
zinc (cinc),0.001,mg,7
