Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","2215 (532)
							",kJ (kcal),236
"grasa, total (lipidos totales)",30,g,7
"proteina, total",2,g,7
agua (humedad),5,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",-,-,-
carbohidratos,63,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0,g,30
"ácidos grasos, monoinsaturados totales",9.3,g,7
"ácidos grasos, poliinsaturados totales",0.85,g,7
ácidos grasos saturados totales,16.8,g,7
ácido graso 12:0 (láurico),0,g,30
ácido graso 14:0 (ácido mirístico),0.03,g,30
ácido graso 16:0 (ácido palmítico),8.69,g,30
ácido graso 18:0 (ácido esteárico),11.35,g,30
ácido graso 18:1 n-9 cis (ácido oléico),11.15,g,30
colesterol,0,mg,30
ácido graso 18:2,0.96,g,30
ácido graso 18:3,0.03,g,30
ácido graso 20:4 n-6  (ácido araquidónico),0,g,30
ácido graso 20:5 (ácido eicosapentaenóico),0,g,30
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,2,ug,30
Vitamina D,0,ug,30
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.55,mg,30
"folato, total",10,ug,7
"equivalentes de niacina, totales",0.6,mg,7
riboflavina,0.15,mg,7
tiamina,0.03,mg,7
Vitamina B-12,0,ug,7
"Vitamina B-6, Total",0.043,mg,30
Vitamina C (ácido ascórbico),0,mg,7
Minerales,,,
calcio,63,mg,7
"hierro, total",2.8,mg,7
potasio,327,mg,7
magnesio,103,mg,7
sodio,19,mg,7
fósforo,147,mg,30
ioduro,10,ug,7
"selenio, total",2.8,ug,30
zinc (cinc),1.5,mg,30
