Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","2262 (543)
							",kJ (kcal),236
"grasa, total (lipidos totales)",29.2,g,29
"proteina, total",4.7,g,29
agua (humedad),1.3,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",-,-,-
carbohidratos,64.8,g,29
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",9.3,g,29
"ácidos grasos, poliinsaturados totales",1.2,g,29
ácidos grasos saturados totales,16.9,g,29
ácido graso 12:0 (láurico),0.016,g,326
ácido graso 14:0 (ácido mirístico),0.045,g,326
ácido graso 16:0 (ácido palmítico),8.432,g,326
ácido graso 18:0 (ácido esteárico),10.883,g,326
ácido graso 18:1 n-9 cis (ácido oléico),8.013,g,326
colesterol,9,mg,29
ácido graso 18:2,0.989,g,326
ácido graso 18:3,0.048,g,326
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),0.003,g,326
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,8.6667,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.1333,mg,179
"folato, total",6,ug,149
"equivalentes de niacina, totales",0.9667,mg,179
riboflavina,0.1367,mg,179
tiamina,0.0467,mg,179
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0.05,mg,179
Vitamina C (ácido ascórbico),0,mg,149
Minerales,,,
calcio,37.6667,mg,179
"hierro, total",1.5,mg,179
potasio,359.667,mg,179
magnesio,123.667,mg,179
sodio,12.3333,mg,179
fósforo,181.333,mg,179
ioduro,2.3,ug,327
"selenio, total",6.8,ug,30
zinc (cinc),2.2333,mg,179
