Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","2452 (588)
							",kJ (kcal),236
"grasa, total (lipidos totales)",58,g,31
"proteina, total",6.2,g,31
agua (humedad),7,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",17,g,31
carbohidratos,11.8,g,31
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",3.8,g,31
"ácidos grasos, poliinsaturados totales",0.9,g,31
ácidos grasos saturados totales,49.9,g,31
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,31
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,31
Vitamina D,0,ug,31
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.7,mg,7
"folato, total",9,ug,30
"equivalentes de niacina, totales",0.3,mg,7
riboflavina,0.02,mg,7
tiamina,0.03,mg,7
Vitamina B-12,0,ug,31
"Vitamina B-6, Total",0.3,mg,30
Vitamina C (ácido ascórbico),2,mg,7
Minerales,,,
calcio,26,mg,30
"hierro, total",3.32,mg,30
potasio,543,mg,30
magnesio,90,mg,30
sodio,37,mg,30
fósforo,206,mg,30
ioduro,0.3,ug,327
"selenio, total",18.5,ug,30
zinc (cinc),2.01,mg,30
