Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","150 (36)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.9,g,38
"proteina, total",4.3,g,38
agua (humedad),88.1,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",4.2,g,38
carbohidratos,2.54,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.017,g,38
"ácidos grasos, poliinsaturados totales",0.4899,g,38
ácidos grasos saturados totales,0.105,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,4,ug,310
Vitamina D,0,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.7,mg,38
"folato, total",77,ug,327
"equivalentes de niacina, totales",2.07,mg,38
riboflavina,0.25,mg,38
tiamina,0.1,mg,38
Vitamina B-12,0,ug,38
"Vitamina B-6, Total",0.25,mg,38
Vitamina C (ácido ascórbico),37.4,mg,280
Minerales,,,
calcio,57,mg,61
"hierro, total",1.9,mg,38
potasio,270,mg,61
magnesio,31,mg,38
sodio,35,mg,38
fósforo,87,mg,38
ioduro,4.5,ug,38
"selenio, total",1.4,ug,38
zinc (cinc),0.33,mg,38
