Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","75 (18)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.3,g,149
"proteina, total",1,g,149
agua (humedad),91.4,g,179
Hidratos de Carbono,,,
"fibra, dietetica total",2.4,g,149
carbohidratos,2.75,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,149
"ácidos grasos, poliinsaturados totales",0.15,g,149
ácidos grasos saturados totales,traza,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,1,ug,310
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.7,mg,149
"folato, total",34,ug,149
"equivalentes de niacina, totales",0.2,mg,149
riboflavina,0.02,mg,149
tiamina,0.03,mg,149
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0.1,mg,149
Vitamina C (ácido ascórbico),33,mg,149
Minerales,,,
calcio,37,mg,149
"hierro, total",0.4,mg,149
potasio,140,mg,149
magnesio,9,mg,149
sodio,3,mg,149
fósforo,29,mg,149
ioduro,1,ug,280
"selenio, total",0.4,ug,280
zinc (cinc),0.1,mg,180
