Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","944 (226)
							",kJ (kcal),236
"grasa, total (lipidos totales)",traza,g,61
"proteina, total",0.5,g,180
agua (humedad),43.7,g,180
Hidratos de Carbono,,,
"fibra, dietetica total",0.8,g,180
carbohidratos,55,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,61
"ácidos grasos, poliinsaturados totales",traza,g,61
ácidos grasos saturados totales,traza,g,61
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0,mg,180
"folato, total",2,ug,180
"equivalentes de niacina, totales",0,mg,180
riboflavina,0,mg,180
tiamina,0,mg,180
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0,mg,180
Vitamina C (ácido ascórbico),0,mg,180
Minerales,,,
calcio,12,mg,180
"hierro, total",1,mg,180
potasio,105,mg,180
magnesio,7,mg,180
sodio,14,mg,180
fósforo,14,mg,180
ioduro,2.7,ug,38
"selenio, total",2,ug,38
zinc (cinc),0,mg,180
