Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","479 (115)
							",kJ (kcal),236
"grasa, total (lipidos totales)",4.4,g,30
"proteina, total",17.3,g,30
agua (humedad),78.7,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,30
carbohidratos,1.3,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",1,g,30
"ácidos grasos, poliinsaturados totales",1.1,g,30
ácidos grasos saturados totales,1.2,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,131,mg,30
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,10,ug,7
Vitamina D,0.2,ug,280
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.63,mg,30
"folato, total",2,ug,156
"equivalentes de niacina, totales",6.6,mg,7
riboflavina,1.06,mg,7
tiamina,0.46,mg,7
Vitamina B-12,2.7,ug,7
"Vitamina B-6, Total",0.29,mg,156
Vitamina C (ácido ascórbico),5.3,mg,30
Minerales,,,
calcio,5,mg,30
"hierro, total",4.3,mg,7
potasio,257,mg,7
magnesio,20,mg,7
sodio,80,mg,7
fósforo,176,mg,7
ioduro,0,ug,7
"selenio, total",10.4,ug,30
zinc (cinc),2.2,mg,7
