Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","684 (164)
							",kJ (kcal),236
"grasa, total (lipidos totales)",5.6654,g,61
"proteina, total",27.9,g,149
agua (humedad),65,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",1.4,g,149
"ácidos grasos, poliinsaturados totales",0.77,g,149
ácidos grasos saturados totales,2.3,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,200,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,61
Vitamina D,1.4,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.7,mg,149
"folato, total",2,ug,149
"equivalentes de niacina, totales",3.1,mg,149
riboflavina,1.4,mg,149
tiamina,0.2,mg,149
Vitamina B-12,14,ug,149
"Vitamina B-6, Total",0.15,mg,149
Vitamina C (ácido ascórbico),2,mg,149
Minerales,,,
calcio,6,mg,149
"hierro, total",7.3,mg,149
potasio,232,mg,149
magnesio,25,mg,149
sodio,100,mg,149
fósforo,230,mg,149
ioduro,7,ug,280
"selenio, total",38.9,ug,30
zinc (cinc),3.5,mg,154
