Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1009 (242)
							",kJ (kcal),236
"grasa, total (lipidos totales)",20.1,g,61
"proteina, total",15.6,g,61
agua (humedad),64.1,g,61
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",8.05,g,61
"ácidos grasos, poliinsaturados totales",1.18,g,61
ácidos grasos saturados totales,9.96,g,61
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,79,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,61
Vitamina D,traza,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.17,mg,61
"folato, total",3,ug,61
"equivalentes de niacina, totales",4.4,mg,61
riboflavina,0.18,mg,61
tiamina,0.13,mg,61
Vitamina B-12,1.3,ug,61
"Vitamina B-6, Total",0.2,mg,61
Vitamina C (ácido ascórbico),0,mg,61
Minerales,,,
calcio,9,mg,61
"hierro, total",2.6,mg,61
potasio,320,mg,61
magnesio,16,mg,61
sodio,75,mg,61
fósforo,170,mg,61
ioduro,2,ug,280
"selenio, total",27.3,ug,280
zinc (cinc),2.2,mg,61
