Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),-,-,-
"energía, total","978 (235)
							",kJ (kcal),236
"grasa, total (lipidos totales)",16.49,g,372
"proteina, total",21.63,g,372
agua (humedad),60.76,g,372
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,372
carbohidratos,0,g,372
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.01,g,372
"ácidos grasos, monoinsaturados totales",5.67,g,372
"ácidos grasos, poliinsaturados totales",0.79,g,372
ácidos grasos saturados totales,5.83,g,372
ácido graso 12:0 (láurico),0.03,g,372
ácido graso 14:0 (ácido mirístico),0.42,g,372
ácido graso 16:0 (ácido palmítico),2.94,g,372
ácido graso 18:0 (ácido esteárico),1.92,g,372
ácido graso 18:1 n-9 cis (ácido oléico),5.2,g,372
colesterol,78.22,mg,372
ácido graso 18:2,0.53,g,372
ácido graso 18:3,0.05,g,372
ácido graso 20:4 n-6  (ácido araquidónico),0.06,g,372
ácido graso 20:5 (ácido eicosapentaenóico),0.01,g,372
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,372
Vitamina D,30,ug,372
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.08,mg,372
"folato, total",1.15,ug,372
"equivalentes de niacina, totales",3.59,mg,372
riboflavina,0.11,mg,372
tiamina,0.09,mg,372
Vitamina B-12,2.11,ug,372
"Vitamina B-6, Total",0.53,mg,372
Vitamina C (ácido ascórbico),-,-,-
Minerales,,,
calcio,17.23,mg,372
"hierro, total",0.79,mg,372
potasio,268.52,mg,372
magnesio,18.34,mg,372
sodio,96.52,mg,372
fósforo,172.45,mg,372
ioduro,-,-,-
"selenio, total",7.64,ug,372
zinc (cinc),2.71,mg,372
