Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),-,-,-
"energía, total","800 (192)
							",kJ (kcal),236
"grasa, total (lipidos totales)",13.14,g,372
"proteina, total",18.46,g,372
agua (humedad),67.36,g,372
Hidratos de Carbono,,,
"fibra, dietetica total",-,-,-
carbohidratos,0,g,372
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.01,g,372
"ácidos grasos, monoinsaturados totales",5.29,g,372
"ácidos grasos, poliinsaturados totales",0.75,g,372
ácidos grasos saturados totales,5.47,g,372
ácido graso 12:0 (láurico),0.03,g,372
ácido graso 14:0 (ácido mirístico),0.39,g,372
ácido graso 16:0 (ácido palmítico),2.77,g,372
ácido graso 18:0 (ácido esteárico),1.81,g,372
ácido graso 18:1 n-9 cis (ácido oléico),4.86,g,372
colesterol,75.13,mg,372
ácido graso 18:2,0.5,g,372
ácido graso 18:3,0.05,g,372
ácido graso 20:4 n-6  (ácido araquidónico),0.06,g,372
ácido graso 20:5 (ácido eicosapentaenóico),0.01,g,372
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,372
Vitamina D,traza,ug,372
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.12,mg,372
"folato, total",4.19,ug,372
"equivalentes de niacina, totales",2.97,mg,372
riboflavina,0.09,mg,372
tiamina,0.13,mg,372
Vitamina B-12,1.82,ug,372
"Vitamina B-6, Total",0.54,mg,372
Vitamina C (ácido ascórbico),0,mg,372
Minerales,,,
calcio,10.69,mg,372
"hierro, total",0.86,mg,372
potasio,292.05,mg,372
magnesio,19.71,mg,372
sodio,89.1,mg,372
fósforo,191.92,mg,372
ioduro,-,-,-
"selenio, total",6.63,ug,372
zinc (cinc),2.69,mg,372
