Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),-,-,-
"energía, total","1141 (274)
							",kJ (kcal),236
"grasa, total (lipidos totales)",20.93,g,372
"proteina, total",21.59,g,372
agua (humedad),56.44,g,372
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,372
carbohidratos,0,g,372
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.01,g,372
"ácidos grasos, monoinsaturados totales",6.48,g,372
"ácidos grasos, poliinsaturados totales",0.91,g,372
ácidos grasos saturados totales,6.72,g,372
ácido graso 12:0 (láurico),0.04,g,372
ácido graso 14:0 (ácido mirístico),0.48,g,372
ácido graso 16:0 (ácido palmítico),3.39,g,372
ácido graso 18:0 (ácido esteárico),2.21,g,372
ácido graso 18:1 n-9 cis (ácido oléico),5.95,g,372
colesterol,71.09,mg,372
ácido graso 18:2,0.61,g,372
ácido graso 18:3,0.06,g,372
ácido graso 20:4 n-6  (ácido araquidónico),0.07,g,372
ácido graso 20:5 (ácido eicosapentaenóico),0.01,g,372
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,372
Vitamina D,20,ug,372
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,traza,mg,372
"folato, total",1.25,ug,372
"equivalentes de niacina, totales",2.22,mg,372
riboflavina,0.06,mg,372
tiamina,0.1,mg,372
Vitamina B-12,2.19,ug,372
"Vitamina B-6, Total",0.4,mg,372
Vitamina C (ácido ascórbico),-,-,-
Minerales,,,
calcio,13.15,mg,372
"hierro, total",1.05,mg,372
potasio,224.66,mg,372
magnesio,15.78,mg,372
sodio,76.29,mg,372
fósforo,145.77,mg,372
ioduro,-,-,-
"selenio, total",12.29,ug,372
zinc (cinc),2.91,mg,372
