Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),-,-,-
"energía, total","838 (201)
							",kJ (kcal),236
"grasa, total (lipidos totales)",14.55,g,372
"proteina, total",17.61,g,372
agua (humedad),66.91,g,372
Hidratos de Carbono,,,
"fibra, dietetica total",-,-,-
carbohidratos,0,g,372
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.01,g,372
"ácidos grasos, monoinsaturados totales",5.17,g,372
"ácidos grasos, poliinsaturados totales",0.74,g,372
ácidos grasos saturados totales,5.34,g,372
ácido graso 12:0 (láurico),0.03,g,372
ácido graso 14:0 (ácido mirístico),0.38,g,372
ácido graso 16:0 (ácido palmítico),2.69,g,372
ácido graso 18:0 (ácido esteárico),1.77,g,372
ácido graso 18:1 n-9 cis (ácido oléico),4.76,g,372
colesterol,65.74,mg,372
ácido graso 18:2,0.5,g,372
ácido graso 18:3,0.05,g,372
ácido graso 20:4 n-6  (ácido araquidónico),0.05,g,372
ácido graso 20:5 (ácido eicosapentaenóico),0.01,g,372
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,372
Vitamina D,traza,ug,372
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.14,mg,372
"folato, total",4.61,ug,372
"equivalentes de niacina, totales",3.4,mg,372
riboflavina,0.07,mg,372
tiamina,0.14,mg,372
Vitamina B-12,2.06,ug,372
"Vitamina B-6, Total",0.53,mg,372
Vitamina C (ácido ascórbico),0,mg,372
Minerales,,,
calcio,8.16,mg,372
"hierro, total",1.12,mg,372
potasio,284.87,mg,372
magnesio,18.93,mg,372
sodio,77.16,mg,372
fósforo,175.14,mg,372
ioduro,-,-,-
"selenio, total",12.46,ug,372
zinc (cinc),3.68,mg,372
