Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1475 (354)
							",kJ (kcal),236
"grasa, total (lipidos totales)",32.7,g,258
"proteina, total",15.6,g,258
agua (humedad),51.7,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,258
carbohidratos,0,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.045,g,300
"ácidos grasos, monoinsaturados totales",11.33,g,258
"ácidos grasos, poliinsaturados totales",1.76,g,258
ácidos grasos saturados totales,15.17,g,258
ácido graso 12:0 (láurico),0.088,g,326
ácido graso 14:0 (ácido mirístico),0.568,g,326
ácido graso 16:0 (ácido palmítico),6.704,g,300
ácido graso 18:0 (ácido esteárico),3.684,g,300
ácido graso 18:1 n-9 cis (ácido oléico),9.815,g,300
colesterol,78,mg,258
ácido graso 18:2,0.8154,g,300
ácido graso 18:3,0.4137,g,300
ácido graso 20:4 n-6  (ácido araquidónico),0.1933,g,300
ácido graso 20:5 (ácido eicosapentaenóico),0.1359,g,300
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,258
Vitamina D,traza,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.26,mg,258
"folato, total",3,ug,32
"equivalentes de niacina, totales",7.4,mg,258
riboflavina,0.16,mg,258
tiamina,0.08,mg,258
Vitamina B-12,1,ug,258
"Vitamina B-6, Total",0.17,mg,258
Vitamina C (ácido ascórbico),0,mg,258
Minerales,,,
calcio,7,mg,258
"hierro, total",1.2,mg,258
potasio,260,mg,258
magnesio,18,mg,258
sodio,68,mg,258
fósforo,194,mg,258
ioduro,3,ug,280
"selenio, total",1,ug,258
zinc (cinc),3.3,mg,258
