Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","2509 (602)
							",kJ (kcal),236
"grasa, total (lipidos totales)",50.9414,g,61
"proteina, total",25.5,g,149
agua (humedad),1.2,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",7,g,149
carbohidratos,11.2,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0,g,30
"ácidos grasos, monoinsaturados totales",25.8,g,149
"ácidos grasos, poliinsaturados totales",12.8,g,149
ácidos grasos saturados totales,10.1,g,149
ácido graso 12:0 (láurico),0,g,30
ácido graso 14:0 (ácido mirístico),0.02,g,30
ácido graso 16:0 (ácido palmítico),4.741,g,30
ácido graso 18:0 (ácido esteárico),2.181,g,30
ácido graso 18:1 n-9 cis (ácido oléico),24.812,g,30
colesterol,0,mg,61
ácido graso 18:2,12.215,g,30
ácido graso 18:3,0.027,g,30
ácido graso 20:4 n-6  (ácido araquidónico),0.018,g,30
ácido graso 20:5 (ácido eicosapentaenóico),0,g,30
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,5,mg,149
"folato, total",67,ug,149
"equivalentes de niacina, totales",15,mg,149
riboflavina,0.1,mg,149
tiamina,0.15,mg,149
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0.5,mg,149
Vitamina C (ácido ascórbico),0,mg,149
Minerales,,,
calcio,40,mg,149
"hierro, total",2,mg,149
potasio,750,mg,149
magnesio,180,mg,149
sodio,313,mg,149
fósforo,366,mg,149
ioduro,0.5,ug,30
"selenio, total",4.1,ug,30
zinc (cinc),3,mg,153
