Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","2265 (544)
							",kJ (kcal),236
"grasa, total (lipidos totales)",33,g,180
"proteina, total",5.4,g,180
agua (humedad),4.5,g,180
Hidratos de Carbono,,,
"fibra, dietetica total",1.1,g,180
carbohidratos,56.02,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0,g,30
"ácidos grasos, monoinsaturados totales",16.8256,g,180
"ácidos grasos, poliinsaturados totales",4.607,g,180
ácidos grasos saturados totales,10.1154,g,180
ácido graso 12:0 (láurico),0.133,g,326
ácido graso 14:0 (ácido mirístico),0.078,g,326
ácido graso 16:0 (ácido palmítico),2.382,g,326
ácido graso 18:0 (ácido esteárico),2.476,g,326
ácido graso 18:1 n-9 cis (ácido oléico),8.323,g,326
colesterol,6,mg,180
ácido graso 18:2,10.072,g,326
ácido graso 18:3,0.013,g,326
ácido graso 20:4 n-6  (ácido araquidónico),0,g,326
ácido graso 20:5 (ácido eicosapentaenóico),0.068,g,326
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,17.65,ug,61
Vitamina D,0.05,ug,180
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,12.3,mg,180
"folato, total",22.3,ug,180
"equivalentes de niacina, totales",0.86,mg,180
riboflavina,0.12,mg,180
tiamina,0.11,mg,180
Vitamina B-12,0.07,ug,180
"Vitamina B-6, Total",0.06,mg,180
Vitamina C (ácido ascórbico),0.24,mg,180
Minerales,,,
calcio,74.1,mg,180
"hierro, total",1.18,mg,180
potasio,288.1,mg,180
magnesio,72.2,mg,180
sodio,93.8,mg,180
fósforo,152,mg,180
ioduro,3.4,ug,280
"selenio, total",3.6,ug,30
zinc (cinc),1,mg,180
