Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","360 (86)
							",kJ (kcal),236
"grasa, total (lipidos totales)",3.4,g,7
"proteina, total",3.9,g,7
agua (humedad),82.8,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0.5,g,280
carbohidratos,9.9,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",1,g,280
"ácidos grasos, poliinsaturados totales",0.1,g,280
ácidos grasos saturados totales,2.6,g,280
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,7,mg,280
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,18.6,ug,7
Vitamina D,0.05,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.1,mg,280
"folato, total",0.35,ug,7
"equivalentes de niacina, totales",0.8,mg,280
riboflavina,0.17,mg,7
tiamina,0.03,mg,280
Vitamina B-12,0.4,ug,7
"Vitamina B-6, Total",0.04,mg,280
Vitamina C (ácido ascórbico),1,mg,280
Minerales,,,
calcio,125,mg,7
"hierro, total",0.3,mg,280
potasio,140,mg,7
magnesio,19.6,mg,280
sodio,61,mg,7
fósforo,99,mg,7
ioduro,14.1,ug,280
"selenio, total",2.3,ug,280
zinc (cinc),0.5,mg,280
