Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,7
"energía, total","1090 (262)
							",kJ (kcal),236
"grasa, total (lipidos totales)",25,g,7
"proteina, total",6.7,g,7
agua (humedad),63,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,32
carbohidratos,3,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",6.6,g,32
"ácidos grasos, poliinsaturados totales",0.7,g,32
ácidos grasos saturados totales,14.3,g,32
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,65,mg,32
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,203.8,ug,7
Vitamina D,0.65,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.24,mg,32
"folato, total",3.5,ug,7
"equivalentes de niacina, totales",0.12,mg,32
riboflavina,traza,mg,7
tiamina,0.05,mg,32
Vitamina B-12,0.22,ug,7
"Vitamina B-6, Total",0.08,mg,32
Vitamina C (ácido ascórbico),traza,mg,32
Minerales,,,
calcio,95,mg,7
"hierro, total",0.2,mg,32
potasio,98,mg,7
magnesio,25,mg,32
sodio,457,mg,7
fósforo,67,mg,7
ioduro,29,ug,32
"selenio, total",6,ug,32
zinc (cinc),2.1,mg,32
