Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","2002 (481)
							",kJ (kcal),236
"grasa, total (lipidos totales)",15.2,g,7
"proteina, total",5.6,g,7
agua (humedad),0,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",3,g,7
carbohidratos,79.1,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",5.8,g,7
"ácidos grasos, poliinsaturados totales",1.3,g,7
ácidos grasos saturados totales,6.6,g,7
ácido graso 12:0 (láurico),0.107,g,304
ácido graso 14:0 (ácido mirístico),0.158,g,304
ácido graso 16:0 (ácido palmítico),5.488,g,304
ácido graso 18:0 (ácido esteárico),0.68,g,304
ácido graso 18:1 n-9 cis (ácido oléico),3.894,g,304
colesterol,130,mg,7
ácido graso 18:2,1.482,g,304
ácido graso 18:3,0.018,g,304
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0.13,ug,7
Vitamina D,3,ug,280
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,3.5,mg,280
"folato, total",4,ug,7
"equivalentes de niacina, totales",0.9,mg,7
riboflavina,0.03,mg,7
tiamina,0.11,mg,7
Vitamina B-12,0,ug,7
"Vitamina B-6, Total",0.07,mg,7
Vitamina C (ácido ascórbico),0,mg,7
Minerales,,,
calcio,82,mg,7
"hierro, total",4,mg,7
potasio,170,mg,7
magnesio,16,mg,7
sodio,110,mg,7
fósforo,87,mg,7
ioduro,7.7,ug,280
"selenio, total",5.2,ug,280
zinc (cinc),2,mg,7
