Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","363 (87)
							",kJ (kcal),236
"grasa, total (lipidos totales)",4.7,g,38
"proteina, total",4.5,g,38
agua (humedad),84.2,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,38
carbohidratos,6.6,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",1.3,g,38
"ácidos grasos, poliinsaturados totales",0.2,g,38
ácidos grasos saturados totales,2.9,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,6.6,mg,32
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,42,ug,38
Vitamina D,0.21,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.23,mg,38
"folato, total",5,ug,38
"equivalentes de niacina, totales",1,mg,38
riboflavina,0.22,mg,38
tiamina,0.05,mg,38
Vitamina B-12,0.3,ug,38
"Vitamina B-6, Total",0.12,mg,38
Vitamina C (ácido ascórbico),0,mg,7
Minerales,,,
calcio,178,mg,38
"hierro, total",0.1,mg,38
potasio,218,mg,38
magnesio,16,mg,38
sodio,64,mg,38
fósforo,129,mg,38
ioduro,9,ug,38
"selenio, total",9,ug,38
zinc (cinc),0.5,mg,38
