Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1892 (454)
							",kJ (kcal),236
"grasa, total (lipidos totales)",25.25,g,30
"proteina, total",4.93,g,30
agua (humedad),16.76,g,30
Hidratos de Carbono,,,
"fibra, dietetica total",1.9,g,30
carbohidratos,51.33,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0,g,30
"ácidos grasos, monoinsaturados totales",8.618,g,30
"ácidos grasos, poliinsaturados totales",1.96,g,30
ácidos grasos saturados totales,13.47,g,30
ácido graso 12:0 (láurico),3.71,g,30
ácido graso 14:0 (ácido mirístico),1.358,g,30
ácido graso 16:0 (ácido palmítico),3.675,g,30
ácido graso 18:0 (ácido esteárico),3.792,g,30
ácido graso 18:1 n-9 cis (ácido oléico),8.352,g,30
colesterol,19,mg,30
ácido graso 18:2,1.794,g,30
ácido graso 18:3,0.166,g,30
ácido graso 20:4 n-6  (ácido araquidónico),0,g,30
ácido graso 20:5 (ácido eicosapentaenóico),0,g,30
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,4,ug,30
Vitamina D,0,ug,30
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,2.02,mg,30
"folato, total",65,ug,30
"equivalentes de niacina, totales",1.59,mg,30
riboflavina,0.125,mg,30
tiamina,0.163,mg,30
Vitamina B-12,0.1,ug,30
"Vitamina B-6, Total",0.024,mg,30
Vitamina C (ácido ascórbico),1.3,mg,30
Minerales,,,
calcio,97.5,mg,7
"hierro, total",4,mg,30
potasio,103.4,mg,7
magnesio,19.3,mg,7
sodio,440.6,mg,7
fósforo,107.3,mg,7
ioduro,6.3,ug,280
"selenio, total",6.8,ug,30
zinc (cinc),3.3,mg,7
