Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","1247 (299)
							",kJ (kcal),236
"grasa, total (lipidos totales)",18.11,g,38
"proteina, total",21.91,g,38
agua (humedad),47.8,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",0.13,g,38
carbohidratos,12.01,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.032,g,326
"ácidos grasos, monoinsaturados totales",7.5,g,38
"ácidos grasos, poliinsaturados totales",4.16,g,38
ácidos grasos saturados totales,4.81,g,38
ácido graso 12:0 (láurico),0.056,g,326
ácido graso 14:0 (ácido mirístico),0.084,g,326
ácido graso 16:0 (ácido palmítico),3.025,g,326
ácido graso 18:0 (ácido esteárico),0.599,g,326
ácido graso 18:1 n-9 cis (ácido oléico),2.38,g,326
colesterol,91,mg,38
ácido graso 18:2,3.02,g,326
ácido graso 18:3,0.133,g,326
ácido graso 20:4 n-6  (ácido araquidónico),0.004,g,326
ácido graso 20:5 (ácido eicosapentaenóico),0.005,g,326
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,35,ug,38
Vitamina D,0.19,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.49,mg,38
"folato, total",9,ug,38
"equivalentes de niacina, totales",11.48,mg,38
riboflavina,0.18,mg,38
tiamina,0.09,mg,38
Vitamina B-12,0.41,ug,38
"Vitamina B-6, Total",0.35,mg,38
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,37,mg,38
"hierro, total",0.91,mg,38
potasio,347,mg,38
magnesio,23,mg,38
sodio,598,mg,38
fósforo,188,mg,38
ioduro,6.72,ug,38
"selenio, total",21.7,ug,38
zinc (cinc),0.95,mg,38
