Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","316 (76)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1,g,38
"proteina, total",15.4,g,38
agua (humedad),82.6,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,38
carbohidratos,1,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.18,g,38
"ácidos grasos, poliinsaturados totales",0.27,g,38
ácidos grasos saturados totales,0.25,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,48,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,9,ug,38
Vitamina D,0.19,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.5,mg,38
"folato, total",10.4,ug,38
"equivalentes de niacina, totales",5,mg,38
riboflavina,0.08,mg,38
tiamina,0.06,mg,38
Vitamina B-12,2.9,ug,38
"Vitamina B-6, Total",0.05,mg,38
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,30,mg,38
"hierro, total",0.8,mg,38
potasio,316,mg,38
magnesio,25,mg,38
sodio,141,mg,38
fósforo,210,mg,38
ioduro,7,ug,38
"selenio, total",45,ug,38
zinc (cinc),0.5,mg,38
