Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,281
"energía, total","961 (231)
							",kJ (kcal),236
"grasa, total (lipidos totales)",15.13,g,281
"proteina, total",19.2,g,281
agua (humedad),60.79,g,281
Hidratos de Carbono,,,
"fibra, dietetica total",0.31,g,281
carbohidratos,4.4,g,281
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",9.12,g,281
"ácidos grasos, poliinsaturados totales",1.94,g,281
ácidos grasos saturados totales,2.95,g,281
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,69.3,mg,281
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,10.08,ug,281
Vitamina D,0.08,ug,281
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.195,mg,281
"folato, total",3.34,ug,281
"equivalentes de niacina, totales",2.88,mg,281
riboflavina,0.09,mg,281
tiamina,0.32,mg,281
Vitamina B-12,1.004,ug,281
"Vitamina B-6, Total",0.16,mg,281
Vitamina C (ácido ascórbico),1.7,mg,281
Minerales,,,
calcio,14.95,mg,281
"hierro, total",1.73,mg,281
potasio,152.23,mg,281
magnesio,14.32,mg,281
sodio,172.6,mg,281
fósforo,140.18,mg,281
ioduro,4.62,ug,281
"selenio, total",0.44,ug,281
zinc (cinc),1.43,mg,281
