Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,278
"energía, total","2014 (483)
							",kJ (kcal),236
"grasa, total (lipidos totales)",21.77,g,278
"proteina, total",6.76,g,278
agua (humedad),3.29,g,278
Hidratos de Carbono,,,
"fibra, dietetica total",3.21,g,278
carbohidratos,64.31,g,278
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",7.95,g,278
"ácidos grasos, poliinsaturados totales",2.37,g,278
ácidos grasos saturados totales,10.27,g,278
ácido graso 12:0 (láurico),1.982,g,305
ácido graso 14:0 (ácido mirístico),1.142,g,305
ácido graso 16:0 (ácido palmítico),4.234,g,305
ácido graso 18:0 (ácido esteárico),2.016,g,305
ácido graso 18:1 n-9 cis (ácido oléico),4.704,g,305
colesterol,50.17,mg,278
ácido graso 18:2,1.428,g,305
ácido graso 18:3,0.067,g,305
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0.2,ug,280
Vitamina D,0.34,ug,278
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.81,mg,278
"folato, total",9.25,ug,236
"equivalentes de niacina, totales",2.23,mg,278
riboflavina,0.11,mg,278
tiamina,0.1,mg,278
Vitamina B-12,,ug,278
"Vitamina B-6, Total",0.07,mg,278
Vitamina C (ácido ascórbico),0.09,mg,278
Minerales,,,
calcio,96,mg,278
"hierro, total",2.05,mg,278
potasio,169.75,mg,278
magnesio,29.83,mg,278
sodio,409.9,mg,278
fósforo,124.42,mg,278
ioduro,traza,ug,278
"selenio, total",5.24,ug,278
zinc (cinc),0.77,mg,278
