Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","1706 (409)
							",kJ (kcal),236
"grasa, total (lipidos totales)",10,g,38
"proteina, total",9.4,g,38
agua (humedad),8.2,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",3.2,g,38
carbohidratos,69.2,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",4.26,g,38
"ácidos grasos, poliinsaturados totales",3.27,g,38
ácidos grasos saturados totales,1.92,g,38
ácido graso 12:0 (láurico),1.867,g,303
ácido graso 14:0 (ácido mirístico),0.762,g,303
ácido graso 16:0 (ácido palmítico),5.975,g,303
ácido graso 18:0 (ácido esteárico),1.696,g,303
ácido graso 18:1 n-9 cis (ácido oléico),7.785,g,303
colesterol,0,mg,38
ácido graso 18:2,1.878,g,303
ácido graso 18:3,0.064,g,303
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,38
Vitamina D,0,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.5,mg,38
"folato, total",10,ug,38
"equivalentes de niacina, totales",0.9,mg,38
riboflavina,0.1,mg,38
tiamina,0.11,mg,38
Vitamina B-12,0,ug,38
"Vitamina B-6, Total",0.1,mg,38
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,68,mg,38
"hierro, total",1,mg,38
potasio,165,mg,38
magnesio,30,mg,38
sodio,950,mg,38
fósforo,150,mg,38
ioduro,traza,ug,38
"selenio, total",7.3,ug,38
zinc (cinc),0.6,mg,38
