Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","2047 (491)
							",kJ (kcal),236
"grasa, total (lipidos totales)",22.92,g,61
"proteina, total",6.2,g,180
agua (humedad),5.7,g,180
Hidratos de Carbono,,,
"fibra, dietetica total",1.8,g,180
carbohidratos,64.3,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",8.9542,g,180
"ácidos grasos, poliinsaturados totales",6.0046,g,180
ácidos grasos saturados totales,6.9527,g,180
ácido graso 12:0 (láurico),2.587,g,303
ácido graso 14:0 (ácido mirístico),1.346,g,303
ácido graso 16:0 (ácido palmítico),7.621,g,303
ácido graso 18:0 (ácido esteárico),4.496,g,303
ácido graso 18:1 n-9 cis (ácido oléico),10.981,g,303
colesterol,88,mg,180
ácido graso 18:2,2.908,g,303
ácido graso 18:3,0.095,g,303
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,245.833,ug,61
Vitamina D,2.2,ug,180
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,2.32,mg,180
"folato, total",5,ug,180
"equivalentes de niacina, totales",0.8,mg,180
riboflavina,0.08,mg,61
tiamina,0.12,mg,180
Vitamina B-12,0,ug,180
"Vitamina B-6, Total",0.07,mg,180
Vitamina C (ácido ascórbico),0,mg,180
Minerales,,,
calcio,78,mg,180
"hierro, total",1.3,mg,180
potasio,92,mg,180
magnesio,12,mg,180
sodio,220,mg,180
fósforo,82,mg,180
ioduro,29.1,ug,280
"selenio, total",2.8,ug,280
zinc (cinc),0.7,mg,180
