Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","1684 (404)
							",kJ (kcal),236
"grasa, total (lipidos totales)",21.2,g,38
"proteina, total",10,g,38
agua (humedad),13.4,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",12.5,g,38
carbohidratos,42.9,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",13.62,g,38
"ácidos grasos, poliinsaturados totales",3.48,g,38
ácidos grasos saturados totales,4.1,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,76.5,ug,280
Vitamina D,0,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.53,mg,281
"folato, total",19,ug,38
"equivalentes de niacina, totales",2.4,mg,38
riboflavina,0.06,mg,281
tiamina,0.26,mg,281
Vitamina B-12,0,ug,38
"Vitamina B-6, Total",0.18,mg,281
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,333,mg,38
"hierro, total",2.5,mg,281
potasio,200,mg,281
magnesio,28,mg,38
sodio,300,mg,38
fósforo,133,mg,38
ioduro,0,ug,38
"selenio, total",7.3,ug,38
zinc (cinc),1.2,mg,281
