Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","2007 (482)
							",kJ (kcal),236
"grasa, total (lipidos totales)",26.2552,g,61
"proteina, total",11.8,g,149
agua (humedad),3,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",3.1,g,149
carbohidratos,49.1,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",9,g,61
"ácidos grasos, poliinsaturados totales",7.3,g,61
ácidos grasos saturados totales,8.8,g,61
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,30,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,61
Vitamina D,0.05,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,4,mg,61
"folato, total",11,ug,61
"equivalentes de niacina, totales",0.45,mg,61
riboflavina,0.2,mg,61
tiamina,0.1,mg,61
Vitamina B-12,0.5,ug,61
"Vitamina B-6, Total",0.12,mg,61
Vitamina C (ácido ascórbico),0,mg,61
Minerales,,,
calcio,236,mg,149
"hierro, total",1,mg,61
potasio,148,mg,149
magnesio,27,mg,149
sodio,821,mg,149
fósforo,226,mg,61
ioduro,traza,ug,38
"selenio, total",7.3,ug,38
zinc (cinc),1.2,mg,61
