Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","339 (81)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.9,g,258
"proteina, total",15.8,g,258
agua (humedad),82.3,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,258
carbohidratos,0,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.205,g,295
"ácidos grasos, monoinsaturados totales",0.39,g,258
"ácidos grasos, poliinsaturados totales",0.61,g,258
ácidos grasos saturados totales,0.33,g,258
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),0.057,g,295
ácido graso 16:0 (ácido palmítico),0.304,g,295
ácido graso 18:0 (ácido esteárico),0.14,g,295
ácido graso 18:1 n-9 cis (ácido oléico),0.272,g,295
colesterol,62.2,mg,258
ácido graso 18:2,0.027,g,295
ácido graso 18:3,0.014,g,295
ácido graso 20:4 n-6  (ácido araquidónico),0.027,g,295
ácido graso 20:5 (ácido eicosapentaenóico),0.09,g,295
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,258
Vitamina D,traza,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,traza,mg,258
"folato, total",11.2,ug,32
"equivalentes de niacina, totales",3.7,mg,258
riboflavina,0.1,mg,258
tiamina,0.08,mg,258
Vitamina B-12,1.1,ug,258
"Vitamina B-6, Total",0.38,mg,258
Vitamina C (ácido ascórbico),traza,mg,258
Minerales,,,
calcio,33.6,mg,258
"hierro, total",0.96,mg,258
potasio,250,mg,258
magnesio,42.1,mg,258
sodio,150,mg,258
fósforo,260,mg,258
ioduro,16,ug,258
"selenio, total",24,ug,258
zinc (cinc),0.4,mg,258
