Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","373 (90)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.8143,g,61
"proteina, total",18,g,187
agua (humedad),78.67,g,187
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,310
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.37,g,180
"ácidos grasos, poliinsaturados totales",0.6,g,180
ácidos grasos saturados totales,0.3,g,180
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,185,mg,180
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0.0117,ug,61
Vitamina D,traza,ug,180
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.5,mg,180
"folato, total",5,ug,180
"equivalentes de niacina, totales",1.5,mg,180
riboflavina,0.02,mg,180
tiamina,0.02,mg,180
Vitamina B-12,1.9,ug,180
"Vitamina B-6, Total",0.06,mg,180
Vitamina C (ácido ascórbico),traza,mg,180
Minerales,,,
calcio,115,mg,180
"hierro, total",3.3,mg,180
potasio,221,mg,180
magnesio,69,mg,180
sodio,305,mg,61
fósforo,215,mg,180
ioduro,210,ug,280
"selenio, total",21,ug,280
zinc (cinc),1.1,mg,180
