Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1398 (336)
							",kJ (kcal),236
"grasa, total (lipidos totales)",6.3,g,179
"proteina, total",19.305,g,179
agua (humedad),7.275,g,179
Hidratos de Carbono,,,
"fibra, dietetica total",14.9667,g,179
carbohidratos,49.2463,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0,g,30
"ácidos grasos, monoinsaturados totales",1.8,g,151
"ácidos grasos, poliinsaturados totales",2.8125,g,151
ácidos grasos saturados totales,0.4275,g,151
ácido graso 12:0 (láurico),0,g,30
ácido graso 14:0 (ácido mirístico),0.009,g,30
ácido graso 16:0 (ácido palmítico),0.508,g,30
ácido graso 18:0 (ácido esteárico),0.086,g,30
ácido graso 18:1 n-9 cis (ácido oléico),1.365,g,30
colesterol,0,mg,61
ácido graso 18:2,2.629,g,30
ácido graso 18:3,0.102,g,30
ácido graso 20:4 n-6  (ácido araquidónico),0,g,30
ácido graso 20:5 (ácido eicosapentaenóico),0,g,30
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,21.5,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,3.1,mg,151
"folato, total",185,ug,38
"equivalentes de niacina, totales",1.7,mg,33
riboflavina,0.14,mg,151
tiamina,0.45,mg,151
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0.15,mg,151
Vitamina C (ácido ascórbico),4.1,mg,151
Minerales,,,
calcio,143,mg,151
"hierro, total",6.8,mg,33
potasio,1000,mg,154
magnesio,122,mg,33
sodio,30,mg,7
fósforo,310,mg,154
ioduro,1.5,ug,33
"selenio, total",2,ug,29
zinc (cinc),2,mg,179
