Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","1435 (344)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0,g,38
"proteina, total",84.4,g,38
agua (humedad),15.6,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,38
carbohidratos,0,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0,g,38
"ácidos grasos, poliinsaturados totales",0,g,38
ácidos grasos saturados totales,0,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,38
Vitamina D,0,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0,mg,38
"folato, total",0,ug,38
"equivalentes de niacina, totales",0.103,mg,38
riboflavina,traza,mg,38
tiamina,traza,mg,38
Vitamina B-12,0,ug,38
"Vitamina B-6, Total",traza,mg,38
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,11,mg,38
"hierro, total",0,mg,38
potasio,22,mg,38
magnesio,11,mg,38
sodio,32,mg,38
fósforo,0,mg,38
ioduro,6,ug,38
"selenio, total",,ug,38
zinc (cinc),0.2,mg,38
