Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,281
"energía, total","371 (89)
							",kJ (kcal),236
"grasa, total (lipidos totales)",8.7,g,281
"proteina, total",2.73,g,281
agua (humedad),84.73,g,281
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,281
carbohidratos,0.14,g,281
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",3.26,g,281
"ácidos grasos, poliinsaturados totales",3.83,g,281
ácidos grasos saturados totales,1.25,g,281
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,281
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0.15,ug,281
Vitamina D,0,ug,281
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.38,mg,281
"folato, total",14.5,ug,281
"equivalentes de niacina, totales",1.56,mg,281
riboflavina,0.03,mg,281
tiamina,0.14,mg,281
Vitamina B-12,0,ug,281
"Vitamina B-6, Total",0.11,mg,281
Vitamina C (ácido ascórbico),0,mg,281
Minerales,,,
calcio,101.6,mg,281
"hierro, total",1.58,mg,281
potasio,86.06,mg,281
magnesio,56.2,mg,281
sodio,353,mg,281
fósforo,108.01,mg,281
ioduro,0,ug,281
"selenio, total",0,ug,281
zinc (cinc),0.8,mg,281
