Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","111 (27)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.2,g,30
"proteina, total",1.1,g,149
agua (humedad),82.8,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",8.2,g,149
carbohidratos,5,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,30
"ácidos grasos, poliinsaturados totales",0.09,g,30
ácidos grasos saturados totales,traza,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,3.5,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.1,mg,149
"folato, total",40,ug,61
"equivalentes de niacina, totales",0.3,mg,7
riboflavina,0.06,mg,149
tiamina,0.04,mg,149
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0.05,mg,149
Vitamina C (ácido ascórbico),40,mg,149
Minerales,,,
calcio,36,mg,149
"hierro, total",1.2,mg,149
potasio,280,mg,149
magnesio,13,mg,149
sodio,3,mg,149
fósforo,30,mg,149
ioduro,1,ug,38
"selenio, total",0.6,ug,30
zinc (cinc),0,mg,61
