Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","150 (36)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.1,g,179
"proteina, total",1.48,g,179
agua (humedad),79.84,g,179
Hidratos de Carbono,,,
"fibra, dietetica total",7,g,149
carbohidratos,7.1033,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,149
"ácidos grasos, poliinsaturados totales",traza,g,149
ácidos grasos saturados totales,traza,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,21.6667,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1,mg,149
"folato, total",40,ug,149
"equivalentes de niacina, totales",0.3,mg,149
riboflavina,0.06,mg,149
tiamina,0.02,mg,149
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0.08,mg,149
Vitamina C (ácido ascórbico),159.567,mg,179
Minerales,,,
calcio,40.1,mg,179
"hierro, total",0.9,mg,179
potasio,341.9,mg,179
magnesio,22.0333,mg,179
sodio,6.0333,mg,179
fósforo,34,mg,149
ioduro,1,ug,38
"selenio, total",1.7,ug,32
zinc (cinc),0.4333,mg,179
