Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","238 (57)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.6,g,30
"proteina, total",0.82,g,30
agua (humedad),81.3,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",5.4,g,30
carbohidratos,11.9,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,30
"ácidos grasos, poliinsaturados totales",0.25,g,30
ácidos grasos saturados totales,0.17,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,30
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,72.5,ug,7
Vitamina D,0,ug,29
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.12,mg,30
"folato, total",14,ug,30
"equivalentes de niacina, totales",1.1,mg,28
riboflavina,0.04,mg,28
tiamina,0.03,mg,28
Vitamina B-12,0,ug,30
"Vitamina B-6, Total",0.14,mg,29
Vitamina C (ácido ascórbico),273,mg,28
Minerales,,,
calcio,17,mg,28
"hierro, total",0.6,mg,7
potasio,290,mg,28
magnesio,13,mg,31
sodio,4,mg,28
fósforo,31,mg,28
ioduro,1.5,ug,32
"selenio, total",0.6,ug,30
zinc (cinc),0.55,mg,7
