Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","260 (62)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.5,g,61
"proteina, total",5.4,g,149
agua (humedad),79.9,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",4.7,g,149
carbohidratos,8.8,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0,g,30
"ácidos grasos, monoinsaturados totales",traza,g,149
"ácidos grasos, poliinsaturados totales",0.3,g,149
ácidos grasos saturados totales,0.1,g,149
ácido graso 12:0 (láurico),0,g,30
ácido graso 14:0 (ácido mirístico),0,g,30
ácido graso 16:0 (ácido palmítico),0.06,g,30
ácido graso 18:0 (ácido esteárico),0.007,g,30
ácido graso 18:1 n-9 cis (ácido oléico),0.033,g,30
colesterol,0,mg,61
ácido graso 18:2,0.142,g,30
ácido graso 18:3,0.033,g,30
ácido graso 20:4 n-6  (ácido araquidónico),0,g,30
ácido graso 20:5 (ácido eicosapentaenóico),0,g,30
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,53,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.1,mg,149
"folato, total",4.93,ug,235
"equivalentes de niacina, totales",1.7,mg,149
riboflavina,0.1,mg,149
tiamina,0.26,mg,149
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0.1,mg,149
Vitamina C (ácido ascórbico),18,mg,149
Minerales,,,
calcio,24,mg,149
"hierro, total",1.6,mg,149
potasio,197,mg,149
magnesio,26,mg,149
sodio,3,mg,149
fósforo,91,mg,149
ioduro,0.15,ug,30
"selenio, total",1.9,ug,30
zinc (cinc),0.8,mg,180
