Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","1990 (478)
							",kJ (kcal),236
"grasa, total (lipidos totales)",26.2,g,38
"proteina, total",9.139,g,38
agua (humedad),8.3,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",5.5,g,38
carbohidratos,50.9,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",11.5,g,38
"ácidos grasos, poliinsaturados totales",2.99,g,38
ácidos grasos saturados totales,11.7,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,38
Vitamina D,0,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.4,mg,38
"folato, total",10,ug,38
"equivalentes de niacina, totales",3.74,mg,38
riboflavina,0.04,mg,38
tiamina,0.01,mg,38
Vitamina B-12,0,ug,38
"Vitamina B-6, Total",0.116,mg,38
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,147,mg,38
"hierro, total",0.7,mg,38
potasio,124,mg,38
magnesio,50,mg,38
sodio,1790,mg,38
fósforo,113,mg,38
ioduro,2.6,ug,38
"selenio, total",5.8,ug,38
zinc (cinc),0.85,mg,38
