Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","501 (120)
							",kJ (kcal),236
"grasa, total (lipidos totales)",3.7,g,30
"proteina, total",21.4,g,30
agua (humedad),72.4,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,30
carbohidratos,0,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.067,g,326
"ácidos grasos, monoinsaturados totales",0.52,g,30
"ácidos grasos, poliinsaturados totales",0.81,g,30
ácidos grasos saturados totales,1.2,g,30
ácido graso 12:0 (láurico),0.003,g,326
ácido graso 14:0 (ácido mirístico),0.035,g,326
ácido graso 16:0 (ácido palmítico),0.942,g,326
ácido graso 18:0 (ácido esteárico),0.975,g,326
ácido graso 18:1 n-9 cis (ácido oléico),0.821,g,326
colesterol,301,mg,30
ácido graso 18:2,0.507,g,326
ácido graso 18:3,0.019,g,326
ácido graso 20:4 n-6  (ácido araquidónico),0.289,g,326
ácido graso 20:5 (ácido eicosapentaenóico),0.014,g,326
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,6495,ug,30
Vitamina D,2.2,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.17,mg,7
"folato, total",212,ug,30
"equivalentes de niacina, totales",15,mg,7
riboflavina,3,mg,30
tiamina,0.4,mg,7
Vitamina B-12,25,ug,7
"Vitamina B-6, Total",0.69,mg,30
Vitamina C (ácido ascórbico),26,mg,7
Minerales,,,
calcio,8,mg,7
"hierro, total",13,mg,7
potasio,330,mg,7
magnesio,21,mg,7
sodio,87,mg,30
fósforo,350,mg,7
ioduro,10,ug,7
"selenio, total",52.7,ug,30
zinc (cinc),6.9,mg,7
