Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1490 (358)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.5,g,30
"proteina, total",26.1,g,30
agua (humedad),0,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",25,g,30
carbohidratos,58.3,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.3,g,30
"ácidos grasos, poliinsaturados totales",0.63,g,30
ácidos grasos saturados totales,0.25,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,30
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,5,ug,30
Vitamina D,0,ug,30
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.09,mg,38
"folato, total",423,ug,30
"equivalentes de niacina, totales",26,mg,7
riboflavina,0.26,mg,7
tiamina,0.5,mg,7
Vitamina B-12,0,ug,7
"Vitamina B-6, Total",0.37,mg,7
Vitamina C (ácido ascórbico),1.4,mg,30
Minerales,,,
calcio,100,mg,7
"hierro, total",5.5,mg,7
potasio,1090,mg,7
magnesio,190,mg,7
sodio,11,mg,7
fósforo,590,mg,7
ioduro,2,ug,38
"selenio, total",8.2,ug,30
zinc (cinc),3.1,mg,7
