Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1496 (359)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.8,g,30
"proteina, total",8.2,g,29
agua (humedad),2.4,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",11.7,g,29
carbohidratos,75.9,g,29
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.21,g,30
"ácidos grasos, poliinsaturados totales",0.77,g,30
ácidos grasos saturados totales,0.2,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,30
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,29
Vitamina D,0,ug,29
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.6,mg,29
"folato, total",70,ug,149
"equivalentes de niacina, totales",2.6,mg,29
riboflavina,0.22,mg,29
tiamina,0.4,mg,29
Vitamina B-12,0,ug,29
"Vitamina B-6, Total",0.35,mg,29
Vitamina C (ácido ascórbico),0,mg,29
Minerales,,,
calcio,32,mg,29
"hierro, total",2.7,mg,29
potasio,410,mg,29
magnesio,92,mg,29
sodio,1,mg,29
fósforo,360,mg,29
ioduro,10,ug,280
"selenio, total",35.7,ug,30
zinc (cinc),3,mg,154
