Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1340 (322)
							",kJ (kcal),236
"grasa, total (lipidos totales)",2.1806,g,61
"proteina, total",11.5,g,149
agua (humedad),13,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",9,g,149
carbohidratos,62.6,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.25,g,149
"ácidos grasos, poliinsaturados totales",1,g,149
ácidos grasos saturados totales,0.32,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,31
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.5,mg,149
"folato, total",36,ug,149
"equivalentes de niacina, totales",5.5,mg,149
riboflavina,0.13,mg,149
tiamina,0.4,mg,149
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0.4,mg,149
Vitamina C (ácido ascórbico),0,mg,61
Minerales,,,
calcio,37,mg,149
"hierro, total",3.5,mg,149
potasio,350,mg,149
magnesio,120,mg,149
sodio,4,mg,149
fósforo,330,mg,149
ioduro,0,ug,7
"selenio, total",53,ug,29
zinc (cinc),2.9,mg,154
