Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","951 (228)
							",kJ (kcal),236
"grasa, total (lipidos totales)",11,g,30
"proteina, total",3.8,g,30
agua (humedad),55.7,g,30
Hidratos de Carbono,,,
"fibra, dietetica total",1.2,g,30
carbohidratos,28.2,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",3.21,g,30
"ácidos grasos, poliinsaturados totales",0.41,g,30
ácidos grasos saturados totales,6.8,g,30
ácido graso 12:0 (láurico),3.191,g,326
ácido graso 14:0 (ácido mirístico),1.235,g,326
ácido graso 16:0 (ácido palmítico),0.84,g,326
ácido graso 18:0 (ácido esteárico),0.9,g,326
ácido graso 18:1 n-9 cis (ácido oléico),0.4,g,326
colesterol,34,mg,30
ácido graso 18:2,0.172,g,326
ácido graso 18:3,0.003,g,326
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,10.4,ug,30
Vitamina D,0.2,ug,30
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.3,mg,30
"folato, total",16,ug,30
"equivalentes de niacina, totales",0.226,mg,30
riboflavina,0.194,mg,30
tiamina,0.042,mg,30
Vitamina B-12,0.29,ug,30
"Vitamina B-6, Total",0.055,mg,30
Vitamina C (ácido ascórbico),0.7,mg,30
Minerales,,,
calcio,109,mg,30
"hierro, total",0.93,mg,30
potasio,249,mg,30
magnesio,29,mg,30
sodio,76,mg,30
fósforo,107,mg,30
ioduro,traza,ug,30
"selenio, total",2.5,ug,30
zinc (cinc),0.58,mg,30
