Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,258
"energía, total","59 (14)
							",kJ (kcal),236
"grasa, total (lipidos totales)",traza,g,258
"proteina, total",1.1,g,258
agua (humedad),93.3,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",3.3,g,258
carbohidratos,2.3,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,258
"ácidos grasos, poliinsaturados totales",traza,g,258
ácidos grasos saturados totales,traza,g,258
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,258
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,32,ug,258
Vitamina D,0,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.9,mg,258
"folato, total",55,ug,274
"equivalentes de niacina, totales",0.68,mg,258
riboflavina,0.02,mg,258
tiamina,0.08,mg,258
Vitamina B-12,0,ug,258
"Vitamina B-6, Total",0.06,mg,258
Vitamina C (ácido ascórbico),8,mg,258
Minerales,,,
calcio,37,mg,258
"hierro, total",0.5,mg,258
potasio,473,mg,258
magnesio,12,mg,258
sodio,15,mg,258
fósforo,38,mg,258
ioduro,,ug,258
"selenio, total",,ug,258
zinc (cinc),0.5,mg,258
