Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","187 (45)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.1,g,149
"proteina, total",10.5,g,149
agua (humedad),88,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,149
carbohidratos,0.3,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,149
"ácidos grasos, poliinsaturados totales",traza,g,149
ácidos grasos saturados totales,traza,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,61
Vitamina D,0,ug,149
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0,mg,149
"folato, total",12,ug,149
"equivalentes de niacina, totales",0.16,mg,7
riboflavina,0.44,mg,149
tiamina,traza,mg,149
Vitamina B-12,0.1,ug,149
"Vitamina B-6, Total",0.01,mg,149
Vitamina C (ácido ascórbico),0,mg,149
Minerales,,,
calcio,6,mg,149
"hierro, total",0.07,mg,149
potasio,142,mg,149
magnesio,10,mg,149
sodio,160,mg,149
fósforo,15,mg,149
ioduro,10,ug,7
"selenio, total",6,ug,32
zinc (cinc),0.02,mg,180
