Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","606 (145)
							",kJ (kcal),236
"grasa, total (lipidos totales)",10.5,g,61
"proteina, total",12.5,g,61
agua (humedad),75.7,g,61
Hidratos de Carbono,,,
"fibra, dietetica total",traza,g,61
carbohidratos,0.3,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",4.2,g,61
"ácidos grasos, poliinsaturados totales",1.3,g,61
ácidos grasos saturados totales,3.1,g,61
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,380,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,207,ug,61
Vitamina D,1.7,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.2,mg,61
"folato, total",60,ug,61
"equivalentes de niacina, totales",0.07,mg,61
riboflavina,0.35,mg,61
tiamina,0.07,mg,61
Vitamina B-12,1.2,ug,61
"Vitamina B-6, Total",0.1,mg,61
Vitamina C (ácido ascórbico),0,mg,61
Minerales,,,
calcio,53,mg,61
"hierro, total",1.8,mg,61
potasio,126,mg,61
magnesio,11,mg,61
sodio,133,mg,61
fósforo,186,mg,61
ioduro,44,ug,280
"selenio, total",24.9,ug,280
zinc (cinc),1.3,mg,61
