Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","954 (229)
							",kJ (kcal),236
"grasa, total (lipidos totales)",20.7229,g,61
"proteina, total",10.2,g,149
agua (humedad),68.4,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,149
carbohidratos,0.8,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",6.1,g,149
"ácidos grasos, poliinsaturados totales",1.2,g,149
ácidos grasos saturados totales,9.9,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,330,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,283.333,ug,61
Vitamina D,1.7,ug,149
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.1,mg,149
"folato, total",30,ug,149
"equivalentes de niacina, totales",0.08,mg,149
riboflavina,0.44,mg,149
tiamina,0.07,mg,149
Vitamina B-12,1.7,ug,149
"Vitamina B-6, Total",0.12,mg,149
Vitamina C (ácido ascórbico),0,mg,149
Minerales,,,
calcio,61,mg,149
"hierro, total",2,mg,149
potasio,138,mg,149
magnesio,13,mg,149
sodio,224,mg,149
fósforo,197,mg,149
ioduro,51.1,ug,280
"selenio, total",16.2,ug,280
zinc (cinc),1.3,mg,180
