Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,30
"energía, total","1108 (266)
							",kJ (kcal),236
"grasa, total (lipidos totales)",17.61,g,30
"proteina, total",26.83,g,30
agua (humedad),55.04,g,30
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,30
carbohidratos,traza,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",7.88,g,30
"ácidos grasos, poliinsaturados totales",1.688,g,30
ácidos grasos saturados totales,6.47,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,94,mg,30
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,10,ug,30
Vitamina D,0.9,ug,30
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,traza,mg,30
"folato, total",10,ug,30
"equivalentes de niacina, totales",4.574,mg,30
riboflavina,0.313,mg,30
tiamina,0.635,mg,30
Vitamina B-12,0.68,ug,30
"Vitamina B-6, Total",0.402,mg,30
Vitamina C (ácido ascórbico),0.3,mg,30
Minerales,,,
calcio,14,mg,30
"hierro, total",1.01,mg,30
potasio,352,mg,30
magnesio,22,mg,30
sodio,60,mg,30
fósforo,263,mg,30
ioduro,34.6,ug,280
"selenio, total",45.3,ug,30
zinc (cinc),2.96,mg,30
